State,Year,August Palmer Modified Drought Index (PMDI)
Arizona,2020,-2.57
Arizona,2021,-1.4
Arizona,2022,-1.57
Arizona,2023,-1.37
Arkansas,1974,3.8
Arkansas,1975,3.7
Arkansas,1976,-0.31
Arkansas,1977,-1.67
Arkansas,1978,-0.22
Arkansas,1979,3.64
Arkansas,1980,-3.06
Arkansas,1981,1.71
Arkansas,1982,0.83
Arkansas,1983,-1.07
Arkansas,1984,0.6
Arkansas,1985,-0.94
Arkansas,1986,-0.19
Arkansas,1987,-1.93
Arkansas,1988,-2.04
Arkansas,1989,3.3
Arkansas,1990,-0.6
Arkansas,1991,0.51
Arkansas,1992,2.03
Arkansas,1993,-1.02
Arkansas,1994,1.9
Arkansas,1995,-0.9
Arkansas,1996,0.53
Arkansas,1997,1.44
Arkansas,1998,-2.36
Arkansas,1999,-1.75
Arkansas,2000,-2.66
Arkansas,2001,-1.7
Arkansas,2002,0.11
Arkansas,2003,1.03
Arkansas,2004,1.62
Arkansas,2005,-2.4
Arkansas,2006,-3.52
Arkansas,2007,-1.51
Arkansas,2008,2.52
Arkansas,2009,3.36
Arkansas,2010,-1.99
Arkansas,2011,-2.04
Arkansas,2012,-3.47
Arkansas,2013,0.86
Arkansas,2014,1.86
Arkansas,2015,2.05
Arkansas,2016,2.89
Arkansas,2017,2.75
Arkansas,2018,0.6
Arkansas,2019,4.96
Arkansas,2020,4.58
Arkansas,2021,3.1
Arkansas,2022,0.39
Arkansas,2023,0.72
California,1974,0.24
California,1975,0.89
California,1976,-2.77
California,1977,-4.88
California,1978,1.73
California,1979,0.37
California,1980,1.71
California,1981,-2.64
California,1982,3.07
California,1983,6.45
California,1984,-0.36
California,1985,-3.27
California,1986,-1.09
California,1987,-3.4
California,1988,-0.01
California,1989,-2.08
California,1990,-2.3
California,1991,1.07
California,1992,-2.86
California,1993,2.89
California,1994,-2.41
California,1995,5.71
California,1996,1.59
California,1997,-2.86
California,1998,6.6
California,1999,1.66
California,2000,-0.82
California,2001,-2.89
California,2002,-3.28
California,2003,1.04
California,2004,-3.23
California,2005,3.99
California,2006,0.36
California,2007,-4.42
California,2008,-4.2
California,2009,-3.28
California,2010,1.16
California,2011,3.5
California,2012,-0.99
California,2013,-3.23
California,2014,-6.35
California,2015,-4.75
California,2016,-2.55
California,2017,0.08
California,2018,-2.71
California,2019,1.51
California,2020,-1.83
California,2021,-6.87
California,2022,-4.79
California,2023,1.36
Colorado,1974,-2.29
Colorado,1975,0.37
Colorado,1976,-1.22
Colorado,1977,-3.88
Colorado,1978,-2.48
Colorado,1979,3.49
Colorado,1980,0.13
Colorado,1981,-3.1
Colorado,1982,1.78
Colorado,1983,4.5
Colorado,1984,4.49
Colorado,1985,1.78
Colorado,1986,2.8
Colorado,1987,3.49
Colorado,1988,0.53
Colorado,1989,-2.28
Colorado,1990,-1.74
Colorado,1991,1.03
Colorado,1992,2.19
Colorado,1993,2.7
Colorado,1994,-1.56
Colorado,1995,4.44
Colorado,1996,-0.53
Colorado,1997,3.82
Colorado,1998,3.32
Colorado,1999,4.29
Colorado,2000,-3.22
Colorado,2001,-2.38
Colorado,2002,-9.09
Colorado,2003,-4.88
Colorado,2004,-2.68
Colorado,2005,0.21
Colorado,2006,-2.67
Colorado,2007,0.1
Colorado,2008,0.89
Colorado,2009,0.5
Colorado,2010,1.37
Colorado,2011,0.38
Colorado,2012,-6.75
Colorado,2013,-5.9
Colorado,2014,1.26
Colorado,2015,2.7
Colorado,2016,0.41
Colorado,2017,0.67
Colorado,2018,-6.27
Colorado,2019,0.87
Colorado,2020,-5.54
Colorado,2021,-4.94
Colorado,2022,-4.95
Colorado,2023,2.47
Connecticut,1974,-0.82
Connecticut,1975,1.0
Connecticut,1976,1.41
Connecticut,1977,-0.71
Connecticut,1978,0.32
Connecticut,1979,0.0
Connecticut,1980,-1.09
Connecticut,1981,-2.52
Connecticut,1982,1.34
Connecticut,1983,-0.39
Connecticut,1984,2.51
Connecticut,1985,1.26
Connecticut,1986,1.25
Connecticut,1987,-1.8
Connecticut,1988,-1.08
Connecticut,1989,3.38
Connecticut,1990,2.57
Connecticut,1991,1.13
Connecticut,1992,2.22
Connecticut,1993,-2.55
Connecticut,1994,0.91
Connecticut,1995,-2.9
Connecticut,1996,0.96
Connecticut,1997,0.33
Connecticut,1998,0.77
Connecticut,1999,-3.12
Connecticut,2000,2.0
Connecticut,2001,-0.58
Connecticut,2002,-1.87
Connecticut,2003,1.11
Connecticut,2004,0.61
Connecticut,2005,-1.91
Connecticut,2006,3.17
Connecticut,2007,-0.76
Connecticut,2008,1.89
Connecticut,2009,2.7
Connecticut,2010,-2.12
Connecticut,2011,2.99
Connecticut,2012,-1.92
Connecticut,2013,1.41
Connecticut,2014,-0.56
Connecticut,2015,-2.57
Connecticut,2016,-3.85
Connecticut,2017,-1.83
Connecticut,2018,0.68
Connecticut,2019,1.57
Connecticut,2020,-2.31
Connecticut,2021,2.04
Connecticut,2022,-2.92
Connecticut,2023,2.37
Delaware,1974,-0.74
Delaware,1975,1.89
Delaware,1976,-2.65
Delaware,1977,-3.09
Delaware,1978,2.28
Delaware,1979,2.85
Delaware,1980,-1.54
Delaware,1981,-1.52
Delaware,1982,-0.49
Delaware,1983,0.1
Delaware,1984,1.41
Delaware,1985,-1.62
Delaware,1986,-3.49
Delaware,1987,-3.26
Delaware,1988,-2.31
Delaware,1989,3.97
Delaware,1990,0.79
Delaware,1991,-1.94
Delaware,1992,-0.19
Delaware,1993,-1.79
Delaware,1994,0.72
Delaware,1995,-3.23
Delaware,1996,2.96
Delaware,1997,-0.31
Delaware,1998,-1.26
Delaware,1999,-3.71
Delaware,2000,2.1
Delaware,2001,1.42
Delaware,2002,-3.8
Delaware,2003,3.7
Delaware,2004,1.78
Delaware,2005,-0.09
Delaware,2006,0.1
Delaware,2007,-2.25
Delaware,2008,-2.45
Delaware,2009,1.95
Delaware,2010,-3.0
Delaware,2011,-0.37
Delaware,2012,-3.5
Delaware,2013,3.07
Delaware,2014,0.17
Delaware,2015,-0.38
Delaware,2016,-0.54
Delaware,2017,1.97
Delaware,2018,1.38
Delaware,2019,-0.05
Delaware,2020,1.28
Delaware,2021,0.42
Delaware,2022,-2.83
Delaware,2023,-1.24
Florida,1974,1.42
Florida,1975,0.42
Florida,1976,-0.65
Florida,1977,-2.48
Florida,1978,1.41
Florida,1979,-0.87
Florida,1980,-1.52
Florida,1981,-2.54
Florida,1982,1.67
Florida,1983,-0.21
Florida,1984,1.32
Florida,1985,-1.04
Florida,1986,-1.71
Florida,1987,-2.9
Florida,1988,-0.81
Florida,1989,-2.03
Florida,1990,-2.53
Florida,1991,2.65
Florida,1992,0.78
Florida,1993,-3.08
Florida,1994,1.41
Florida,1995,2.39
Florida,1996,-0.33
Florida,1997,-0.14
Florida,1998,-4.17
Florida,1999,-2.73
Florida,2000,-5.18
Florida,2001,-1.69
Florida,2002,0.63
Florida,2003,3.07
Florida,2004,0.21
Florida,2005,1.86
Florida,2006,-3.89
Florida,2007,-6.22
Florida,2008,1.35
Florida,2009,-0.47
Florida,2010,-1.62
Florida,2011,-5.14
Florida,2012,1.24
Florida,2013,2.66
Florida,2014,-1.05
Florida,2015,-1.32
Florida,2016,-0.87
Florida,2017,1.76
Florida,2018,2.1
Florida,2019,-0.08
Florida,2020,-0.56
Florida,2021,1.32
Florida,2022,-0.71
Florida,2023,-1.1
Georgia,1974,1.06
Georgia,1975,2.85
Georgia,1976,1.41
Georgia,1977,-2.38
Georgia,1978,-0.63
Georgia,1979,1.18
Georgia,1980,-2.55
Georgia,1981,-3.36
Georgia,1982,0.63
Georgia,1983,-1.94
Georgia,1984,2.28
Georgia,1985,0.35
Georgia,1986,-3.42
Georgia,1987,-2.14
Georgia,1988,-3.52
Georgia,1989,2.14
Georgia,1990,-2.91
Georgia,1991,3.54
Georgia,1992,1.79
Georgia,1993,-3.06
Georgia,1994,2.97
Georgia,1995,-0.82
Georgia,1996,-1.25
Georgia,1997,-0.6
Georgia,1998,-2.52
Georgia,1999,-3.3
Georgia,2000,-4.98
Georgia,2001,-0.68
Georgia,2002,-4.1
Georgia,2003,4.27
Georgia,2004,-0.71
Georgia,2005,3.91
Georgia,2006,-3.62
Georgia,2007,-4.6
Georgia,2008,-1.68
Georgia,2009,-0.52
Georgia,2010,-1.65
Georgia,2011,-5.27
Georgia,2012,-2.84
Georgia,2013,5.09
Georgia,2014,-1.19
Georgia,2015,-0.91
Georgia,2016,-2.94
Georgia,2017,0.27
Georgia,2018,1.62
Georgia,2019,-2.17
Georgia,2020,0.84
Georgia,2021,2.83
Georgia,2022,-1.19
Georgia,2023,1.07
Idaho,1974,-1.92
Idaho,1975,2.68
Idaho,1976,2.52
Idaho,1977,-2.08
Idaho,1978,1.86
Idaho,1979,-1.43
Idaho,1980,2.19
Idaho,1981,0.87
Idaho,1982,3.2
Idaho,1983,5.1
Idaho,1984,5.6
Idaho,1985,-2.36
Idaho,1986,-0.42
Idaho,1987,-1.69
Idaho,1988,-4.18
Idaho,1989,-1.16
Idaho,1990,0.48
Idaho,1991,0.8
Idaho,1992,-3.65
Idaho,1993,4.0
Idaho,1994,-3.79
Idaho,1995,4.07
Idaho,1996,0.19
Idaho,1997,3.22
Idaho,1998,2.84
Idaho,1999,1.57
Idaho,2000,-3.3
Idaho,2001,-4.36
Idaho,2002,-2.99
Idaho,2003,-3.19
Idaho,2004,0.6
Idaho,2005,0.83
Idaho,2006,-1.82
Idaho,2007,-4.07
Idaho,2008,-1.32
Idaho,2009,2.22
Idaho,2010,2.41
Idaho,2011,2.99
Idaho,2012,-0.86
Idaho,2013,-2.84
Idaho,2014,-0.81
Idaho,2015,-2.68
Idaho,2016,-3.01
Idaho,2017,-1.79
Idaho,2018,-1.37
Idaho,2019,-0.82
Idaho,2020,-0.24
Idaho,2021,-4.64
Idaho,2022,-0.33
Idaho,2023,0.54
Illinois,1974,2.7
Illinois,1975,2.39
Illinois,1976,-1.34
Illinois,1977,0.64
Illinois,1978,0.65
Illinois,1979,1.99
Illinois,1980,0.06
Illinois,1981,3.71
Illinois,1982,3.04
Illinois,1983,-0.83
Illinois,1984,-1.74
Illinois,1985,1.57
Illinois,1986,-0.35
Illinois,1987,-0.4
Illinois,1988,-4.13
Illinois,1989,-1.02
Illinois,1990,2.92
Illinois,1991,-2.59
Illinois,1992,0.21
Illinois,1993,4.69
Illinois,1994,0.55
Illinois,1995,0.33
Illinois,1996,0.78
Illinois,1997,0.61
Illinois,1998,1.96
Illinois,1999,-0.18
Illinois,2000,1.75
Illinois,2001,0.37
Illinois,2002,1.16
Illinois,2003,0.47
Illinois,2004,1.66
Illinois,2005,-2.9
Illinois,2006,-1.47
Illinois,2007,-0.79
Illinois,2008,2.5
Illinois,2009,4.95
Illinois,2010,3.92
Illinois,2011,1.32
Illinois,2012,-4.28
Illinois,2013,0.74
Illinois,2014,1.96
Illinois,2015,3.56
Illinois,2016,3.71
Illinois,2017,1.08
Illinois,2018,1.76
Illinois,2019,4.14
Illinois,2020,2.41
Illinois,2021,2.01
Illinois,2022,1.47
Illinois,2023,-0.6
Indiana,1974,1.18
Indiana,1975,2.24
Indiana,1976,-0.27
Indiana,1977,1.53
Indiana,1978,2.09
Indiana,1979,4.1
Indiana,1980,2.33
Indiana,1981,2.41
Indiana,1982,1.77
Indiana,1983,-1.97
Indiana,1984,-1.54
Indiana,1985,1.02
Indiana,1986,0.71
Indiana,1987,-0.12
Indiana,1988,-3.81
Indiana,1989,2.21
Indiana,1990,3.88
Indiana,1991,-2.68
Indiana,1992,2.04
Indiana,1993,2.97
Indiana,1994,0.27
Indiana,1995,-0.22
Indiana,1996,1.28
Indiana,1997,2.98
Indiana,1998,2.6
Indiana,1999,-1.75
Indiana,2000,1.33
Indiana,2001,1.21
Indiana,2002,-0.45
Indiana,2003,2.54
Indiana,2004,3.34
Indiana,2005,-0.15
Indiana,2006,1.9
Indiana,2007,-1.25
Indiana,2008,2.28
Indiana,2009,2.84
Indiana,2010,0.07
Indiana,2011,0.37
Indiana,2012,-4.02
Indiana,2013,-0.43
Indiana,2014,2.18
Indiana,2015,3.52
Indiana,2016,3.15
Indiana,2017,2.19
Indiana,2018,2.79
Indiana,2019,4.15
Indiana,2020,1.81
Indiana,2021,1.35
Indiana,2022,1.35
Indiana,2023,0.49
Iowa,1974,2.56
Iowa,1975,-0.47
Iowa,1976,-2.1
Iowa,1977,-1.68
Iowa,1978,2.15
Iowa,1979,3.26
Iowa,1980,1.36
Iowa,1981,1.58
Iowa,1982,3.5
Iowa,1983,0.56
Iowa,1984,1.16
Iowa,1985,-1.45
Iowa,1986,2.36
Iowa,1987,1.79
Iowa,1988,-4.27
Iowa,1989,-4.97
Iowa,1990,3.64
Iowa,1991,-0.39
Iowa,1992,1.6
Iowa,1993,9.15
Iowa,1994,1.38
Iowa,1995,0.45
Iowa,1996,1.49
Iowa,1997,-0.67
Iowa,1998,2.59
Iowa,1999,2.59
Iowa,2000,-0.45
Iowa,2001,-0.39
Iowa,2002,0.81
Iowa,2003,-1.13
Iowa,2004,1.93
Iowa,2005,-0.51
Iowa,2006,-0.92
Iowa,2007,3.3
Iowa,2008,4.76
Iowa,2009,4.7
Iowa,2010,6.52
Iowa,2011,2.16
Iowa,2012,-3.95
Iowa,2013,-0.91
Iowa,2014,3.01
Iowa,2015,3.78
Iowa,2016,4.17
Iowa,2017,0.75
Iowa,2018,2.48
Iowa,2019,3.42
Iowa,2020,-1.02
Iowa,2021,-0.53
Iowa,2022,-1.07
Iowa,2023,-2.37
Kansas,1974,1.44
Kansas,1975,1.56
Kansas,1976,-1.29
Kansas,1977,1.53
Kansas,1978,-0.76
Kansas,1979,2.04
Kansas,1980,-2.03
Kansas,1981,-0.57
Kansas,1982,2.48
Kansas,1983,-1.35
Kansas,1984,-1.21
Kansas,1985,2.91
Kansas,1986,2.91
Kansas,1987,4.72
Kansas,1988,-1.82
Kansas,1989,-0.07
Kansas,1990,1.12
Kansas,1991,-3.49
Kansas,1992,3.02
Kansas,1993,7.8
Kansas,1994,1.6
Kansas,1995,3.88
Kansas,1996,1.37
Kansas,1997,3.19
Kansas,1998,1.53
Kansas,1999,4.15
Kansas,2000,-1.36
Kansas,2001,0.98
Kansas,2002,-3.37
Kansas,2003,-0.31
Kansas,2004,1.63
Kansas,2005,3.26
Kansas,2006,-1.9
Kansas,2007,2.63
Kansas,2008,3.21
Kansas,2009,4.16
Kansas,2010,3.84
Kansas,2011,-2.6
Kansas,2012,-3.9
Kansas,2013,0.16
Kansas,2014,-0.12
Kansas,2015,2.26
Kansas,2016,3.0
Kansas,2017,1.87
Kansas,2018,-1.66
Kansas,2019,6.26
Kansas,2020,2.39
Kansas,2021,-0.21
Kansas,2022,-3.35
Kansas,2023,-3.04
Kentucky,1974,2.89
Kentucky,1975,1.17
Kentucky,1976,0.85
Kentucky,1977,1.36
Kentucky,1978,1.4
Kentucky,1979,4.73
Kentucky,1980,-1.0
Kentucky,1981,1.11
Kentucky,1982,1.1
Kentucky,1983,-1.97
Kentucky,1984,-0.96
Kentucky,1985,1.19
Kentucky,1986,-2.79
Kentucky,1987,-2.49
Kentucky,1988,-3.53
Kentucky,1989,3.41
Kentucky,1990,0.32
Kentucky,1991,-1.89
Kentucky,1992,1.64
Kentucky,1993,-0.78
Kentucky,1994,0.49
Kentucky,1995,-0.78
Kentucky,1996,1.39
Kentucky,1997,1.91
Kentucky,1998,1.43
Kentucky,1999,-3.47
Kentucky,2000,-0.46
Kentucky,2001,0.11
Kentucky,2002,-1.51
Kentucky,2003,3.15
Kentucky,2004,2.98
Kentucky,2005,0.77
Kentucky,2006,-0.54
Kentucky,2007,-3.54
Kentucky,2008,-1.04
Kentucky,2009,2.22
Kentucky,2010,-0.79
Kentucky,2011,1.0
Kentucky,2012,-2.59
Kentucky,2013,2.69
Kentucky,2014,1.95
Kentucky,2015,3.54
Kentucky,2016,3.31
Kentucky,2017,1.28
Kentucky,2018,2.69
Kentucky,2019,4.62
Kentucky,2020,4.54
Kentucky,2021,3.54
Kentucky,2022,2.94
Kentucky,2023,1.14
Louisiana,1974,2.33
Louisiana,1975,4.95
Louisiana,1976,-0.36
Louisiana,1977,1.03
Louisiana,1978,0.56
Louisiana,1979,2.08
Louisiana,1980,-2.47
Louisiana,1981,-1.93
Louisiana,1982,-1.91
Louisiana,1983,2.65
Louisiana,1984,1.39
Louisiana,1985,-1.32
Louisiana,1986,-2.22
Louisiana,1987,0.88
Louisiana,1988,0.14
Louisiana,1989,3.05
Louisiana,1990,-1.84
Louisiana,1991,4.11
Louisiana,1992,3.1
Louisiana,1993,0.46
Louisiana,1994,1.11
Louisiana,1995,-0.14
Louisiana,1996,0.14
Louisiana,1997,0.85
Louisiana,1998,-3.43
Louisiana,1999,-2.08
Louisiana,2000,-4.7
Louisiana,2001,1.98
Louisiana,2002,-1.12
Louisiana,2003,0.72
Louisiana,2004,1.67
Louisiana,2005,-1.83
Louisiana,2006,-3.77
Louisiana,2007,-0.02
Louisiana,2008,0.03
Louisiana,2009,-1.85
Louisiana,2010,-2.01
Louisiana,2011,-5.91
Louisiana,2012,1.76
Louisiana,2013,-0.88
Louisiana,2014,2.06
Louisiana,2015,-1.59
Louisiana,2016,4.46
Louisiana,2017,4.8
Louisiana,2018,-2.39
Louisiana,2019,3.06
Louisiana,2020,2.24
Louisiana,2021,4.34
Louisiana,2022,1.68
Louisiana,2023,-3.72
Maine,1974,2.81
Maine,1975,-1.77
Maine,1976,3.75
Maine,1977,1.03
Maine,1978,-2.16
Maine,1979,0.93
Maine,1980,-1.51
Maine,1981,1.65
Maine,1982,0.01
Maine,1983,0.9
Maine,1984,2.58
Maine,1985,-1.09
Maine,1986,1.74
Maine,1987,-2.05
Maine,1988,0.31
Maine,1989,0.84
Maine,1990,1.4
Maine,1991,1.85
Maine,1992,0.62
Maine,1993,-1.3
Maine,1994,-0.44
Maine,1995,-2.43
Maine,1996,2.24
Maine,1997,1.87
Maine,1998,0.83
Maine,1999,-2.56
Maine,2000,0.7
Maine,2001,-3.62
Maine,2002,-2.2
Maine,2003,-2.16
Maine,2004,1.83
Maine,2005,2.35
Maine,2006,4.52
Maine,2007,2.12
Maine,2008,4.14
Maine,2009,4.96
Maine,2010,-1.66
Maine,2011,4.27
Maine,2012,-0.19
Maine,2013,2.75
Maine,2014,2.77
Maine,2015,0.96
Maine,2016,-0.72
Maine,2017,-0.89
Maine,2018,-0.9
Maine,2019,2.44
Maine,2020,-1.76
Maine,2021,-2.21
Maine,2022,0.74
Maine,2023,3.99
Maryland,1974,-0.58
Maryland,1975,2.33
Maryland,1976,-2.02
Maryland,1977,-2.72
Maryland,1978,2.31
Maryland,1979,3.14
Maryland,1980,-1.19
Maryland,1981,-0.61
Maryland,1982,-0.5
Maryland,1983,-1.76
Maryland,1984,2.64
Maryland,1985,-1.56
Maryland,1986,-2.91
Maryland,1987,-3.31
Maryland,1988,-2.11
Maryland,1989,2.5
Maryland,1990,1.44
Maryland,1991,-3.26
Maryland,1992,-0.76
Maryland,1993,-2.04
Maryland,1994,0.56
Maryland,1995,-2.93
Maryland,1996,3.6
Maryland,1997,-1.08
Maryland,1998,-0.81
Maryland,1999,-4.4
Maryland,2000,1.97
Maryland,2001,0.75
Maryland,2002,-4.46
Maryland,2003,4.04
Maryland,2004,3.38
Maryland,2005,-0.02
Maryland,2006,-1.29
Maryland,2007,-2.68
Maryland,2008,-0.02
Maryland,2009,1.62
Maryland,2010,-2.78
Maryland,2011,0.83
Maryland,2012,-2.48
Maryland,2013,1.5
Maryland,2014,1.18
Maryland,2015,0.31
Maryland,2016,-0.68
Maryland,2017,1.58
Maryland,2018,3.22
Maryland,2019,1.85
Maryland,2020,1.35
Maryland,2021,0.33
Maryland,2022,-0.51
Maryland,2023,-2.33
Massachusetts,1974,-0.44
Massachusetts,1975,1.41
Massachusetts,1976,1.18
Massachusetts,1977,0.55
Massachusetts,1978,-0.15
Massachusetts,1979,1.14
Massachusetts,1980,-1.86
Massachusetts,1981,-2.37
Massachusetts,1982,1.42
Massachusetts,1983,0.01
Massachusetts,1984,2.45
Massachusetts,1985,1.17
Massachusetts,1986,2.08
Massachusetts,1987,-1.83
Massachusetts,1988,0.45
Massachusetts,1989,2.58
Massachusetts,1990,2.58
Massachusetts,1991,1.07
Massachusetts,1992,1.55
Massachusetts,1993,-2.84
Massachusetts,1994,0.55
Massachusetts,1995,-2.8
Massachusetts,1996,1.78
Massachusetts,1997,-0.01
Massachusetts,1998,1.16
Massachusetts,1999,-2.68
Massachusetts,2000,2.31
Massachusetts,2001,0.43
Massachusetts,2002,-2.11
Massachusetts,2003,1.81
Massachusetts,2004,0.72
Massachusetts,2005,-1.21
Massachusetts,2006,3.35
Massachusetts,2007,-0.39
Massachusetts,2008,2.67
Massachusetts,2009,4.15
Massachusetts,2010,-2.08
Massachusetts,2011,2.74
Massachusetts,2012,-1.37
Massachusetts,2013,1.78
Massachusetts,2014,0.71
Massachusetts,2015,-0.85
Massachusetts,2016,-3.33
Massachusetts,2017,0.45
Massachusetts,2018,0.88
Massachusetts,2019,2.68
Massachusetts,2020,-2.17
Massachusetts,2021,2.94
Massachusetts,2022,-3.06
Massachusetts,2023,3.05
Michigan,1974,1.73
Michigan,1975,3.33
Michigan,1976,-1.58
Michigan,1977,-1.99
Michigan,1978,0.42
Michigan,1979,2.28
Michigan,1980,1.19
Michigan,1981,0.99
Michigan,1982,1.27
Michigan,1983,-1.01
Michigan,1984,-0.87
Michigan,1985,2.2
Michigan,1986,1.81
Michigan,1987,-0.41
Michigan,1988,-2.94
Michigan,1989,-0.44
Michigan,1990,1.05
Michigan,1991,-0.64
Michigan,1992,1.38
Michigan,1993,2.78
Michigan,1994,3.27
Michigan,1995,-0.44
Michigan,1996,0.87
Michigan,1997,1.34
Michigan,1998,-2.65
Michigan,1999,0.16
Michigan,2000,1.38
Michigan,2001,-0.8
Michigan,2002,0.84
Michigan,2003,-1.44
Michigan,2004,2.21
Michigan,2005,-2.72
Michigan,2006,-0.08
Michigan,2007,-1.52
Michigan,2008,-0.06
Michigan,2009,3.11
Michigan,2010,0.46
Michigan,2011,1.07
Michigan,2012,-1.93
Michigan,2013,2.47
Michigan,2014,2.76
Michigan,2015,0.47
Michigan,2016,1.07
Michigan,2017,2.6
Michigan,2018,1.48
Michigan,2019,2.54
Michigan,2020,3.81
Michigan,2021,1.6
Michigan,2022,0.51
Michigan,2023,1.08
Minnesota,1974,1.47
Minnesota,1975,-0.01
Minnesota,1976,-4.24
Minnesota,1977,-3.9
Minnesota,1978,2.92
Minnesota,1979,3.54
Minnesota,1980,-0.98
Minnesota,1981,1.65
Minnesota,1982,1.11
Minnesota,1983,2.14
Minnesota,1984,-0.4
Minnesota,1985,3.17
Minnesota,1986,4.11
Minnesota,1987,-1.53
Minnesota,1988,-5.34
Minnesota,1989,-2.7
Minnesota,1990,-0.17
Minnesota,1991,0.55
Minnesota,1992,2.49
Minnesota,1993,5.75
Minnesota,1994,3.01
Minnesota,1995,2.41
Minnesota,1996,0.27
Minnesota,1997,2.34
Minnesota,1998,0.51
Minnesota,1999,3.53
Minnesota,2000,1.84
Minnesota,2001,1.34
Minnesota,2002,2.75
Minnesota,2003,-1.35
Minnesota,2004,1.47
Minnesota,2005,1.13
Minnesota,2006,-2.54
Minnesota,2007,-2.18
Minnesota,2008,-0.57
Minnesota,2009,-0.27
Minnesota,2010,1.89
Minnesota,2011,2.88
Minnesota,2012,-2.24
Minnesota,2013,-0.7
Minnesota,2014,2.67
Minnesota,2015,1.54
Minnesota,2016,3.52
Minnesota,2017,3.01
Minnesota,2018,1.76
Minnesota,2019,3.91
Minnesota,2020,2.97
Minnesota,2021,-3.64
Minnesota,2022,-0.65
Minnesota,2023,-3.76
Mississippi,1974,3.66
Mississippi,1975,4.9
Mississippi,1976,-0.23
Mississippi,1977,-1.72
Mississippi,1978,0.22
Mississippi,1979,3.38
Mississippi,1980,0.42
Mississippi,1981,-2.81
Mississippi,1982,0.11
Mississippi,1983,2.12
Mississippi,1984,1.27
Mississippi,1985,0.03
Mississippi,1986,-2.97
Mississippi,1987,-0.43
Mississippi,1988,-2.67
Mississippi,1989,3.12
Mississippi,1990,-0.97
Mississippi,1991,2.43
Mississippi,1992,2.34
Mississippi,1993,0.38
Mississippi,1994,1.86
Mississippi,1995,-0.25
Mississippi,1996,0.34
Mississippi,1997,2.36
Mississippi,1998,-1.89
Mississippi,1999,-2.09
Mississippi,2000,-4.71
Mississippi,2001,1.92
Mississippi,2002,-0.15
Mississippi,2003,3.87
Mississippi,2004,3.25
Mississippi,2005,1.99
Mississippi,2006,-3.18
Mississippi,2007,-3.04
Mississippi,2008,1.35
Mississippi,2009,0.49
Mississippi,2010,-1.29
Mississippi,2011,-3.53
Mississippi,2012,2.16
Mississippi,2013,1.7
Mississippi,2014,2.36
Mississippi,2015,-0.54
Mississippi,2016,0.45
Mississippi,2017,3.46
Mississippi,2018,-0.52
Mississippi,2019,3.28
Mississippi,2020,3.83
Mississippi,2021,5.48
Mississippi,2022,1.45
Mississippi,2023,-1.23
Missouri,1974,2.73
Missouri,1975,0.66
Missouri,1976,-1.56
Missouri,1977,-0.64
Missouri,1978,1.56
Missouri,1979,1.88
Missouri,1980,-3.29
Missouri,1981,3.25
